year|origin|dest|export_val
2008|bfa|ita|0
2008|bfa|nld|0
2008|bfa|prt|0
2008|bfa|rou|0
2008|bfa|rus|0
2008|bfa|swe|0
2008|bfa|can|0
2008|bfa|usa|0
2008|bfa|aus|0
2008|bfa|bra|0
2008|caf|eth|0
2008|caf|sen|0
2008|caf|zaf|1031685.0
2008|caf|are|0
2008|caf|chn|0
2008|caf|jpn|0
2008|caf|kor|0
2008|caf|lbn|0
2008|caf|tha|0
2008|caf|blx|0
2008|caf|deu|0
2008|caf|esp|0
2008|caf|fra|0
2008|caf|gbr|0
2008|caf|irl|0
2008|caf|ita|0
2008|caf|nld|0
2008|caf|rus|0
2008|caf|can|0
2008|caf|usa|0
2008|caf|bra|0
2008|civ|ago|52929.0
2008|civ|ben|186968.0
2008|civ|bfa|569986.0
2008|civ|cmr|3246865.0
2008|civ|cod|67199.0
2008|civ|cog|399378.0
2008|civ|egy|0
2008|civ|eth|0
2008|civ|gab|64337.0
2008|civ|gha|100707.0
2008|civ|gin|361427.0
2008|civ|gnq|95756.0
2008|civ|lbr|300535.0
2008|civ|mar|153472.0
2008|civ|mdg|118112.94
2008|civ|mli|1228716.17
2008|civ|mrt|20267.0
2008|civ|ner|1462193.0
2008|civ|nga|14578.0
2008|civ|rwa|16668.0
2008|civ|sdn|227957.91
2008|civ|sen|136829.09
2008|civ|sle|8890.0
2008|civ|tcd|32226.0
2008|civ|tgo|170968.64
2008|civ|tun|7975.0
2008|civ|zaf|18829.57
2008|civ|are|0
2008|civ|bgd|0
2008|civ|chn|0
2008|civ|geo|0
2008|civ|hkg|0
2008|civ|ind|4445.0
2008|civ|irn|0
2008|civ|jpn|0
2008|civ|kor|0
2008|civ|kwt|0
2008|civ|lbn|10001.0
2008|civ|mys|0
2008|civ|prk|0
2008|civ|sgp|6444.0
2008|civ|syr|20640.0
2008|civ|tha|0
2008|civ|tur|0
2008|civ|xxb|0
2008|civ|aut|0
2008|civ|blr|0
2008|civ|blx|29300.0
2008|civ|che|0
2008|civ|cze|0
2008|civ|deu|10038.0
2008|civ|dnk|0
2008|civ|esp|0
2008|civ|est|0
2008|civ|fin|0
2008|civ|fra|21484472.86
2008|civ|gbr|0
2008|civ|gib|0
2008|civ|irl|0
2008|civ|isl|7779.0
2008|civ|ita|6876.0
2008|civ|ltu|0
2008|civ|nld|0
2008|civ|nor|0
2008|civ|pol|0
2008|civ|prt|0
2008|civ|rou|0
2008|civ|rus|0
2008|civ|svk|0
2008|civ|swe|0
2008|civ|can|41844.0
2008|civ|cri|2607.0
2008|civ|grl|0
2008|civ|mex|0
2008|civ|usa|21780.0
2008|civ|aus|0
2008|civ|fji|37724.0
2008|civ|nzl|0
2008|civ|arg|0
